topic_num,size,top_words,sample_comments,docket_id
-1,73,"the, of, and, to, is, for, in","I stand with the new proposal to require allergen labeling for wines, distilled spirits, and malt beverages. This regulation is essential to ensure that consumers are fully informed about the ingredients in the beverages they consume and to reduce the risk of allergic reactions due to misinformation. For individuals with allergies, drinking a beverage containing an allergen poses the same health r ||| The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB's regulatory authority under the Federal Alcohol Administration Act with no exceptions. Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation. Competit ||| The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB's regulatory authority under the Federal Alcohol Administration Act with no exceptions. Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation",TTB-2025-0003
0,21,"these, alcoholic, be, gluten, labeling, beverages, to","As a consumer in America with many friends with food allergies, I think that labeling information should be displayed on alcoholic beverages similar to labeling on FDA-regulated foods. Although alcoholic beverages may not generally be an essential product and can/have bypassed the regulations inflicted on common products. Consumers with food allergies are accustomed to FDA labeling, and would be a ||| has become in recent years (Center for Science in the Public Interest, 2024). U.S. Surgeon General Vivek Murthy wants to have the labels because of a recent study linking alcohol and cancer (Jonel Aleccia, 2025). Having these labels will be a good thing showing the public what they are putting into their body and what common allergens are in these products. The TTB is also asking for a comment on ||| has become in recent years(Center for Science in the Public Interest, 2024). U.S. Surgeon General Vivek Murthy wants to have the labels because of a recent study linking alcohol and cancer(Jonel Aleccia, 2025). Having these labels will be a good thing showing the public what they are putting into their body and what common allergens are in these products. The TTB is also asking for a comment on th",TTB-2025-0003
1,17,"foods, alcoholic, ingredients, many, contain, beverages, have","ingredients list"" [5]. In the ingredients claims, the amount stating they were gluten free or contained no high fructose corn syrup outnumbered the amount containing allergens by more than a factor of 4. This fact highlights the ongoing problems with alcohol regulation in the nutritionary field. If practically all other foods and beverages require nutrition labels, aside from fresh fruits, s ||| and rely on labeling to determine which products are safe to consume. This information is not required on alcoholic beverages, but many alcoholic beverages do contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Currently, consumers with food allergies have no way of knowing if they can safely consume alc ||| and rely on labeling to determine which products are safe to consume. This information is not required on alcoholic beverages, but many alcoholic beverages do contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Currently, consumers with food allergies have no way of knowing if they can safely consume alc",TTB-2025-0003
2,14,"formatting, utilize, phones, should, populations, or, eg","and requiring species specific disclosure for the labeling of finish. TTB should make clear in the final rule that this information should never be provided solely via QR code, as this would specifically disadvantage populations that are less able to utilize smart phones or similar technology (e.g., those who are older, lower income, or living rurally or on tribal land). Please take this suggestio ||| and protect consumers with food allergies. The final rule could be improved by specifying where the allergen disclosure should appear, outlining specific formatting requirements, and requiring a species-specific disclosure for the labeling of finfish (e.g., tilapia, salmon, etc.). Consumers with allergies need allergen information to appear on-package. It should never be provided solely ||| and protect consumers with food allergies. The final rule could be improved by specifying where the allergen disclosure should appear, outlining specific formatting requirements, and requiring a species-specific disclosure for the labeling of finfish (e.g., tilapia, salmon, etc.). Consumers with allergies need allergen information to appear on-package. It should never be provided solely",TTB-2025-0003
3,11,"serving, per, lactose, number, me, beer, how","I make sure to ask the bartenders who work directly for the beer-maker, and they do not always know. I always look up the specific beer on beer enthusiast forums and apps to check for lactose content, but often do not find information about lactose. As a result, even despite my own vigilance, I end up drinking beers that harm me (e.g., gastrointestinal pain and distress for hours after). This prop ||| The proposed rule by the TTB is a great rule especially with how in the past allergens were listed as an option. Allergens like milk, fish, soy and peanuts are important due to how an allergic reaction can happen or could potentially kill the drinker, By the Brewers Association the rule it will also disclose, Serving size, number of servings per container, alcohol content, number of ounces per ser ||| The proposed rule by the TTB is a great rule especially with how in the past allergens where listed as an option. Allergens like milk, fish, soy and peanuts are important due to how an allergic reaction can happen or could potentially kill the drinker, By the Brewers Association the rule it will also disclose, Serving size, number of servings per container, alcohol content, number of ounces per se",TTB-2025-0003
4,11,"qr, codes, served, public, code, scan, health","of conveying essential product information—such as ingredients, nutritional content, and allergens—is inadequate from a public health standpoint. Key Public Health Concerns with the QR Code Approach: 1. Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code ||| TTB is also asking for a comment on the alternative ways for these allergens and nutritional information, I do not agree on using QR codes due to not everyone having a smart device. Their could be ways it could be put on drinks served to the public that are non alcoholic. If they can do that for the drinks served to the public they can require it on alcoholic beverages. ||| products. The TTB is also asking for a comment on the alternative ways for these allergens and nutritional information, I do not agree on using QR codes due to not everyone having a smart device. There could be ways it could be put on drinks served to the public that are nonalcoholic. If they can do that for the drinks served to the public, they can require it on alcoholic beverages.",TTB-2025-0003
5,10,"calorie, calories, per, serving, adding, nutritional, number","average by 47%, while simultaneously underreporting their physical activity by 51% [3]. Through this, one can draw the conclusion that nutritional labeling is either not being read or not being understood correctly. To further this, as a college student, many of us tend to miscount or disregard calorie intake as a whole, particularly discounting alcoholic beverages when it comes to calories. I mys ||| per container, alcohol content, number of ounces per serving, calories per serving, and number of of grams per serving of carbohydrates, fat, and protein( Marc Sorini, 2025). That something like this is important because some people do look at labels like this while buying products. That this can protect their health and safety, and that overconsumption is a problem that has become in recent years ||| per container, alcohol content, number of ounces per serving, calories per serving, and number of of grams per serving of carbohydrates, fat, and protein( Marc Sorini, 2025). That something like this is important because some people do look at labels like this while buying products. That this can protect their health and safety and that overconsumption is a problem that has become in recent years(",TTB-2025-0003
6,10,"this, it, retailers, cost, what, will, suppliers","I would recommend considering how this affects small producers who might not have the scale to produce these labels for their products. While the purpose of this regulation would be beneficial to the public, I suggest that other methods of warning labels also be introduced and accepted, like the use of QR codes and warning notices at official places of sale instead of on each bottle or can. ||| I have a few recommendations that could potentially improve the rule. First, I do not believe that using an alternative method such as a website or QR code would be adequate to provide the same information to the consumer. These methods would likely cost the industry the same amount as a website as it would still require an adjustment to the label of the product. Additionally, it may be ||| I believe this is a significant and vital rule to ensuring public health. Food allergies are extremely serious and can cause not only damage to personal health, sickness, or even death; but can even have a negative impact on the medical and health systems as a whole. By introducing this rule, it can serve to lower the potential chance that allergic reactions caused by unlabeled drinks — such",TTB-2025-0003
7,10,"competition, report, public, enhance, ingredient, consumer, would","that the TTB is well-positioned to address. Implementing such regulations would not only enhance consumer awareness but also foster trust in alcohol brands that prioritize transparency and safety. Lastly, the proposed regulations align with the TTB's mission to protect public health and well-being. By establishing uniform ingredient labeling requirements, the TTB would not only fulfi ||| and Spirits"" (Competition Report). The Competition Report was required by Executive Order 14036, ""Promoting Competition in the American Economy"". One of the Competition Report's findings directed agencies to review ""[r]egulatory proposals that could serve public health and foster competition by providing information to consumers, such as mandatory allergen, nutrition, a ||| public health initiatives but also adhere to the discussions and recommendations highlighted in the Treasury's Competition Report on alcohol markets. This report emphasizes that regulatory actions promoting public health should take precedence. Establishing a consistent framework for full ingredient disclosure would reflect a proactive response to these recommendations. In conclusi",TTB-2025-0003
8,10,"allergy, malt, spirits, distilled, wines, someone, to","As a college student, alcohol drinking is very prominent and so are allergies. If seltzers have allergens, why do wines, distilled spirits and malt beverages not? I and many other students suffer from an allergy and we feel discriminated against. I highly urge the companies to start including allergens on the bottle of these beverages not just for me, but for all of those feeling discriminated due ||| As someone with a food allergy myself, I understand the risk and the struggles that accompany a food allergy. Clear labeling is imperative to ensuring those with allergies like myself are informed of what we are ingesting and can act appropriately if we find we have congested or are about to congest something that we are allergic to. Since alcohol, including wines, distilled spirits, and malt beve ||| Please add food allergy labels to wine, spirits, and malt beverages as it is a safety concern to those who have food allergies and to businesses that serve alcohol. It is nearly impossible to determine if these items contain a food allergen. I have a son who has a food allergy and am concerned without labeling, this is a very possible cause of anaphylaxis for him. Anaphylaxis can result in death a",TTB-2025-0003
